#N	EXP	IC		NC		IW		NW
0	11	98.80	99.52	219.47	299.32
1	12	98.80	97.85	219.47	157.58
2	13	98.80	90.05	219.47	47.44
3	14	98.34	71.34	221.57	8.88
4	15	98.34	57.25	221.57	2.05
5	16	98.34	47.73	221.57	0.53
6	21	84.14	99.63	42.82	298.89
7	22	84.14	97.90	42.82	156.59
8	23	84.14	89.86	42.82	46.69
9	24	84.14	71.34	42.82	8.88
10	25	84.14	57.25	42.82	2.05
11	26	84.14	47.73	42.82	0.53
12	31	59.24	99.63	5.42	298.89
13	32	59.24	97.90	5.42	156.59
14	33	59.24	89.86	5.42	46.69
15	34	59.24	71.34	5.42	8.88
16	35	59.24	57.25	5.42	2.05
17	36	60.37	45.96	6.97	0.65
18	41	45.40	99.07	1.00	280.77
19	42	45.40	96.26	1.00	150.95
20	43	45.40	87.60	1.00	45.63
21	44	45.40	68.62	1.00	9.03
22	45	45.40	55.09	1.00	2.33
23	46	45.40	45.96	1.00	0.65
